Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce MX350,GDDR5,2 GB,Harici,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,Yok,,16 GB,DDR4,Siyah,256 GB,,,,1920 x 1080,Full HD (FHD),1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/v15-82kb09cntx05-i5-1135g7-16gb-256ssd-mx350-15-6-fullhd-freedos-tasinabilir-bilgisayar-p-375709665,19.022 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR4,Gri,1 TB,,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-15iah7-82s9016mtx-i5-12450h-16gb-1tb-rtx3050ti-120hz-freedos-gaming-laptop-p-767233054,27.599 TL
,USB,,2 kg ve Altı,Var,7 inç,AMD Radeon Graphics,Belirtilmemiş,Paylaşımlı,Dahili,120 Hz,,2 Yıl,Resmi Distribütör Garantili,,,500 GB,,Joystick,Oyun,,,,Yok,16 GB,LPDDR5,Beyaz,512 GB,,,,1920 x 1080,Full HD (FHD),Belirtilmemiş,Belirtilmemiş,Ryzen Z1,6,Windows,,https://www.trendyol.com//asus/rog-ally-ryzen-z1-16gb-ram-512gb-ssd-7inc-w11-p-779234182,28.999 TL
,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,4.7,,,IPS,16 GB,DDR5,Siyah,512 GB,,,2.3,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,3 Saat ve Altı,https://www.trendyol.com//acer/nitro5-core-i7-12700h-16-gb-512-gb-ssd-rtx-4060-8-gbfreedos-15-6-fhd-notebook-nh-qm0ey-001-p-719063232,36.999 TL
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,,,IPS,64 GB,DDR4,Gri,2 TB,Gen 4,,,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Windows,,https://www.trendyol.com//casper/excalibur-g870-1265-exb0r-b-intel-core-i7-12650h-64gb-ram-2tb-nvme-ssd-8gb-rtx4060-windows-11-pro-p-737917516,45.999 TL
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.7,,,IPS,16 GB,DDR4,Gri,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1265-bfb0x-b-intel-core-i7-12650h-16gb-ram-1tb-nvme-ssd-8gb-rtx4060-freedos-p-672160551,36.199 TL
,,,2 kg ve Altı,Yok,14 inç,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,500 GB,,Q Türkçe,Oyun,,,Yok,,16 GB,DDR4,Gümüş,SSD Yok,,,,2880 x 1800,Full HD (FHD),5600H,5. Nesil,AMD Ryzen 5,6,Windows,,https://www.trendyol.com//asus/vivobook-pro-14-oled-5-nesil-ryzen-5-5600h-16gb-512ssd-14-rtx3050-4gb-w11-p-355654003,27.999 TL
,USB - Bluetooth - HDMI,,2 kg ve Altı,Yok,"15,6 inç",Dahili Ekran Kartı,DDR4,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Oyun,,,,IPS,8 GB,DDR4,Gri,500 GB,,,,1920 x 1080,Full HD (FHD),11390H,11. Nesil,Intel Core i7,4,Free Dos,,https://www.trendyol.com//casper/nirvana-x600-139h-8v00x-g-f-intel-core-i7-11390h-8-gb-ram-500gb-nvme-ssd-gen4-freedos-p-773800488,16.499 TL
,HDMI - USB,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),13900H,13. Nesil,Intel Core i9,14,Windows,,https://www.trendyol.com//msi/katana-17-b13vfk-1018tr-i9-32gb-ddr5-1tb-ssd-rtx4060-8gb-144hz-fhd-w11-home-gaming-laptop-p-784564380,63.899 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,5.0,,,IPS,16 GB,DDR4,Siyah,1 TB,Gen 4,,2.4,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v20-3-4-intel-core-i7-13700h-16-gb-ram-1-tb-ssd-6-gb-rtx-4050-freedos-15-6-fhd-144-hz-p-736036351,33.699 TL
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.4,,Yok,,16 GB,DDR4,Beyaz,512 GB,,,3.2,1920 x 1080,Full HD (FHD),5800H,5. Nesil,AMD Ryzen 7,8,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//hp/victus-71t71ea-15-fb0004nt-ryzen-7-5800h-16gb-512gb-ssd-rtx3050ti-15-6-144hz-fhd-gaming-notebook-p-377427868,28.099 TL
32 GB,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,Full HD,,Resmi Distribütör Garantili,Full HD,Var,,512 GB,Q Türkçe,Oyun,,,Yok,IPS,8 GB,,,512 GB,,,4 +,1920 x 1080,Full HD (FHD),11400,11. Nesil,Intel Core i5,6,Free Dos,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-fx506hc-hn011-intel-core-i5-11400h-8gb-512gb-ssd-rtx-3050-144-hz-freedos-15-6-p-125855729,"28.443,83 TL"
,Bluetooth,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,,Full HD,,Resmi Distribütör Garantili,Full HD,Var,,500 GB,Numerik Tuşlu Aydınlatmalı,Oyun,,,Yok,IPS,8 GB,,,500 GB,,,4 +,1920 x 1080,Full HD (FHD),11800H,11. Nesil,Intel Core i7,,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a7-v13-3-intel-core-i7-11800h-8gb-500gb-ssd-rtx3050ti-freedos-17-3-fhd-p-117271574,29.899 TL
,,,2 - 4 kg,Yok,18 inç,Nvidia GeForce RTX 4080,GDDR6,12 GB,Harici,240 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,RGB Türkçe,Oyun,,,,,32 GB,DDR5,Gri,1 TB,,,,2560 x 1600,QHD+,13980HX,13. Nesil,Intel Core i9,24,Free Dos,,https://www.trendyol.com//asus/rog-strix-g18-g814jz-n6024-i9-13980hx-32-gb-1-tb-ssd-rtx4080-240-hz-dos-18-qhd-p-650642621,90.799 TL
,HDMI - USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,IPS,32 GB,DDR5,Siyah,512 GB,,,2.4,1920 x 1080,Full HD (FHD),13620H,13. Nesil,Intel Core i7,10,Free Dos,3 Saat ve Altı,https://www.trendyol.com//acer/nitro-v-15-core-i7-13620h-32gb-512gb-ssd-rtx-4050-freedos-15-6-fhd-notebook-nh-qnbey-005-325-p-784449310,34.999 TL
,USB,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),12500H,12. Nesil,Intel Core i5,16,Free Dos,,https://www.trendyol.com//hp/15-fa1031nt-i5-12500h-12-nesil-16-gb-512-gb-ssd-15-6-geforce-rtx-4050-6gb-144-hz-827w9ea-p-751635962,"29.399,90 TL"
,,,2 kg ve Altı,Yok,14 inç,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,1 TB,,Q Türkçe,Oyun,,,Yok,,16 GB,DDR4,Gümüş,SSD Yok,,,,2880 x 1800,Full HD (FHD),5900HX,5. Nesil,AMD Ryzen 9,8,Windows,,https://www.trendyol.com//asus/vivobook-pro-14-oled-5-nesil-ryzen-9-5900hx-16gb-1tb-14-rtx3050-4gb-w11-p-355653769,35.999 TL
,HDMI - USB,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),13700HX,13. Nesil,Intel Core i7,16,Free Dos,,https://www.trendyol.com//hp/omen-16-wf0026nt-7q7x8ea-i7-13700hx-32gb-ram-1tb-ssd-8gb-rtx-4060-16-1-fhd-freedos-siyah-p-762555195,46.899 TL
32 GB,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,18 inç,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,240 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Gri,1 TB,,,2.2,2560 x 1600,QHD+,13980HX,13. Nesil,Intel Core i9,24,Free Dos,,https://www.trendyol.com//asus/rog-strix-g18-g814ji-n6141-intel-i9-13980hx-16gb-ddr5-1tb-pcie-ssd-8gb-rtx4070-18-qhd-240hz-fdos-p-738003742,73.449 TL
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,4.4,,,IPS,32 GB,DDR4,Gri,1 TB,Gen 4,,,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1245-dfa0x-b-intel-core-i5-12450h-32gb-ram-1tb-nvme-ssd-gen4-6gb-rtx4050-freedos-p-672168438,31.499 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),6800H,6. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-15arh7-82sb00s0tx-amd-ryzen-7-6800h-16gb-512gb-ssd-rtx3050ti-gaming-laptop-p-767243744,28.399 TL
32 GB,HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,512 GB,RGB Türkçe,Oyun,4.5,Üniversite,Yok,IPS,8 GB,DDR4,Siyah,512 GB,,AM5,2.7,1920 x 1080,Full HD (FHD),11400H,11. Nesil,Intel Core i5,6,Free Dos,4-6 Saat,https://www.trendyol.com//asus/tuf-gaming-f15-fx506hc-hn375-intel-i5-11400h-8gb-ddr4-512gb-ssd-4gb-rtx3050-15-6-fhd-144hz-dos-p-455432672,33.333 TL
32 GB,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,RGB Türkçe,Oyun,4.7,,Yok,IPS,16 GB,DDR4,Siyah,512 GB,,,2.3,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-f15-fx507zc4-hn011-intel-core-i7-12700h-16-gb-512-gb-ssd-rtx-3050-144-hz-freedos-15-p-654271600,36.535 TL
,Bluetooth,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 3050,DDR4,4 GB,Harici,144 Hz,,2 Yıl,ACER Türkiye Garantili,,,1 TB,,Q Türkçe (Aydınlatmalı),Oyun,4.5,,,IPS,24 GB,DDR4,Siyah,1 TB,,,,1920 x 1080,QHD,11400H,11. Nesil,Intel Core i5,6,Windows,,https://www.trendyol.com//acer/nitro5-intel-core-i5-11400h-24gb-1tb-4gb-rtx3050-15-6-fhd-w11pro-gaming-pc-p-767864206,27.260 TL
,Bluetooth,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 3050,DDR4,4 GB,Harici,144 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.5,,,IPS,16 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,QHD,11400H,11. Nesil,Intel Core i5,6,Windows,,https://www.trendyol.com//acer/nitro5-intel-core-i5-11400h-16gb-512gb-4gb-rtx3050-15-6-fhd-w11pro-gaming-pc-p-767856380,26.000 TL
,Bluetooth,,2 kg ve Altı,Yok,"15,6 inç",Dahili Ekran Kartı,DDR4,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),Oyun,,,,IPS,16 GB,DDR4,Gri,500 GB,,,,1920 x 1080,Full HD (FHD),1235U,12. Nesil,Intel Core i5,10,Free Dos,,https://www.trendyol.com//casper/nirvana-c500-1235-bv00x-g-f-intel-core-i5-1235u-16gb-ram-500-gb-nvme-ssd-gen4-freedos-p-676511074,16.499 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//hp/omen-16-k0010nt-7h8z7ea-i7-12700h-16gb-1tbssd-rtx3060-16-1-fullhd-freedos-tasinabilir-bilgisayar-p-769740218,36.999 TL
,HDMI - USB,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR5,Gri,1 TB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r0073nt-8w8a5ea-i7-13700h-32gb-ram-1tb-ssd-geforce-rtx-4050-16-1-inc-fhd-freedos-p-767806518,39.999 TL
,HDMI - USB,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-16-r0065nt-8b5y3ea-i7-13700h-32-gb-ram-1-tb-ssd-8-gb-rtx-4060-16-1-fhd-freedos-p-758800085,41.999 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//msi/nb-katana-15-b13vgk-1469xtr-i9-13900h-16gb-ddr5-rtx4070-gddr6-8gb-512gb-ssd-15-6-fhd-144hz-dos-p-762731708,56.509 TL
,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.9,,,IPS,32 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Windows,,https://www.trendyol.com//dell/gaming-g15-5530-intel-core-i7-13650hx-32gb-1tb-ssd-rtx4060-windows-11home-15-6-g155530013wha4-p-741983951,"49.017,32 TL"
,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.5,,,IPS,16 GB,DDR4,Gri,1 TB,,,,1920 x 1080,Full HD (FHD),11320H,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-intel-core-i5-11320h-16gb-1tb-ssd-gtx1650-freedos-15-6-82k101lxtxa38-p-767234222,"24.362,24 TL"
32 GB,Bluetooth,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 3070Ti,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q İngilizce,Oyun,4.7,,,IPS,16 GB,DDR5,Gri,512 GB,,,3.2,2560 x 1600,WQXGA,6800H,6. Nesil,AMD Ryzen 7,8,Windows,,https://www.trendyol.com//lenovo/legion-5-pro-16arh7h-r7-6800h-16-wqxga-16gb-512gb-rtx-3070ti-q-us-klavye-w11h-1yil-garanti-p-698133094,43.500 TL
,,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,4.5,,,,32 GB,DDR4,Siyah,1 TB,,,2.7,1920 x 1080,Full HD (FHD),11400H,11. Nesil,Intel Core i5,6,Windows,,https://www.trendyol.com//asus/tuf-gaming-f15-fx506hc-i5-11400h-32gb-1tb-ssd-rtx3050-4gb-144hz-w11p-15-6-fhd-hn373-p-661919963,32.400 TL
,,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4080,GDDR6,12 GB,Harici,165 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,RGB Türkçe,Oyun,4.9,,Yok,IPS,16 GB,DDR5,Gri,1 TB,,,,1920 x 1200,WUXGA,13650HX,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//asus/rog-strix-g16-g614jz-n3040-intel-core-i7-13650hx-16-gb-1-tb-ssd-rtx-4080-165-hz-freedos-16-fhd-p-652662291,69.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.5,,,IPS,16 GB,DDR4,Gri,512 GB,,,3.2,1920 x 1080,Full HD (FHD),11320H,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad-g3-15ihu6-intel-i5-11320h-16gb-512gb-ssd-rtx3050-freedos-15-6-82k101hwtxa37-p-782070765,"24.834,03 TL"
,HDMI - USB,,2 kg ve Altı,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,TN,16 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),12650H,12. Nesil,Intel Core i7,10,Windows,,https://www.trendyol.com//msi/thin-gf63-12uc-666xtr-intel-core-i7-12650h-16gb-512gb-ssd-rtx3050-windows-11-pro-15-6-fhd-144hz-p-764509751,"36.399,99 TL"
,Bluetooth,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.9,,,IPS,16 GB,DDR5,Siyah,512 GB,,,3.6,1920 x 1080,Full HD (FHD),13650HX,13. Nesil,Intel Core i7,14,Windows,,https://www.trendyol.com//dell/gaming-g15-5530-g155530010wh-i7-13650hx-16gb-512gb-rtx-4050-6g-15-6-inc-fhd-w11-gaming-notebook-p-696895493,39.899 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,,,,IPS,8 GB,DDR5,Gümüş,512 GB,,,,1920 x 1080,Full HD (FHD),6600H,6. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//hp/victus-16-e1011nt-amd-ryzen-5-6600h-8gb-512gb-rtx3050ti-16-1-fhd-144hz-dos-68s27ea-p-752684631,24.999 TL
,USB,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,16 GB,DDR5,Mavi,1 TB,,,,1920 x 1080,Full HD (FHD),7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//hp/victus-16-s0060nt-amd-ryzen-7-7840hs-16gb-1-tb-ssd-rtx3050-6gb-16-1-freedos-144-hz-tasinabilir-b-p-749670388,29.799 TL
,,,2 kg ve Altı,Yok,16 inç,Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Oyun,,,,,16 GB,DDR5,Gri,512 GB,,,,2560 x 1600,WQXGA,6600H,6. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//lenovo/thinkbook-16p-21ek0028tx-ryzen5-6600h-16gb-512ssd-rtx3060-16-qhd-freedos-tasinabilir-bilgis-p-471085595,28.999 TL
16 GB,Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX3060,GDDR6,6 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.4,,,IPS,8 GB,DDR4,Siyah,512 GB,,,2,1920 x 1080,Full HD (FHD),12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming3-15iah7-i5-12450h-8gb-512gb-ssd-6gb-geforce-rtx-3060-15-6-fhd-fdos-82s9016ptx-p-746304898,26.999 TL
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe,Oyun,5.0,,,,32 GB,DDR4,Metalik,1 TB,,,,1920 x 1080,Full HD (FHD),13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-15-fa1028nt-i7-13700h-32gb-1tb-ssd-rtx3050-6gb-fdos-15-6-144hz-fhd-7n9v0ea-p-674212085,"35.131,14 TL"
,USB - Bluetooth - HDMI,,4 kg ve Üstü,Yok,18 inç,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,480 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q İngilizce,Oyun,,,,IPS,32 GB,DDR5,Metalik,1 TB,,,,1920 x 1200,FHD+,7845HX,7. Nesil,AMD Ryzen 9,12,Windows,,https://www.trendyol.com//dell/alienware-m18-r9-7845hx-18-fhd-480hz-32gb-1tb-rtx4070-q-us-ing-klavye-1-yil-tr-garanti-p-758380280,84.100 TL
,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,RGB Türkçe,Oyun,,,,IPS,32 GB,DDR5,Gri,512 GB,,,,1920 x 1080,Full HD (FHD),6800HS,6. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//asus/rog-strix-g15-g513rc-hn194a3-ryzen7-6800hs-32gb-512ssd-rtx3050-15-6-fullhd-freedos-tasinabilir-p-684483621,35.509 TL
,USB,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,,,,IPS,16 GB,DDR5,Mavi,512 GB,,,,1920 x 1080,Full HD (FHD),13500H,13. Nesil,Intel Core i5,16,Free Dos,,https://www.trendyol.com//hp/victus-16-r0045nt-i5-13500h-13-nesil-16-gb-512gb-16-1-8-gb-geforce-rtx-4060-144-hz-7p6c7ea-p-755401539,35.999 TL
,USB - Bluetooth - HDMI,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,32 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),12700H,12. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//acer/an515-58-intel-core-i7-12700h-32gb-1tb-ssd-rtx4060-8gb-dos-15-6-fhd-165hz-gaming-laptop-p-743152344,44.999 TL
